municipality,state,city
Mobile city,AL,Mobile
Monroeville city,AL,Monroeville
Montevallo city,AL,Montevallo
Montgomery city,AL,Montgomery
Moody city,AL,Moody
Moores Mill CDP,AL,Moores Mill
Mooresville town,AL,Mooresville
Morris town,AL,Morris
Morrison Crossroads CDP,AL,Morrison Crossroads
Mosses town,AL,Mosses
Moulton city,AL,Moulton
Moundville town,AL,Moundville
Mountain Brook city,AL,Mountain Brook
Mount Olive CDP,AL,Mount Olive
Mount Olive CDP,AL,Mount Olive
Mount Vernon town,AL,Mount Vernon
Movico CDP,AL,Movico
Mulga town,AL,Mulga
Munford town,AL,Munford
Muscle Shoals city,AL,Muscle Shoals
Myrtlewood town,AL,Myrtlewood
Nanafalia CDP,AL,Nanafalia
Nances Creek CDP,AL,Nances Creek
Napier Field town,AL,Napier Field
Natural Bridge town,AL,Natural Bridge
Nauvoo town,AL,Nauvoo
Nectar town,AL,Nectar
Needham town,AL,Needham
Newbern town,AL,Newbern
New Brockton town,AL,New Brockton
New Hope city,AL,New Hope
New Market CDP,AL,New Market
New Site town,AL,New Site
Newton town,AL,Newton
New Union CDP,AL,New Union
Newville town,AL,Newville
Nixburg CDP,AL,Nixburg
North Courtland town,AL,North Courtland
North Johns town,AL,North Johns
Northport city,AL,Northport
Notasulga town,AL,Notasulga
Oak Grove town,AL,Oak Grove
Oak Hill town,AL,Oak Hill
Oakman town,AL,Oakman
Odenville city,AL,Odenville
Ohatchee town,AL,Ohatchee
Oneonta city,AL,Oneonta
Onycha town,AL,Onycha
Opelika city,AL,Opelika
Opp city,AL,Opp
Orange Beach city,AL,Orange Beach
Orrville town,AL,Orrville
Our Town CDP,AL,Our Town
Owens Cross Roads town,AL,Owens Cross Roads
Oxford city,AL,Oxford
Ozark city,AL,Ozark
Paint Rock town,AL,Paint Rock
Panola CDP,AL,Panola
Parrish town,AL,Parrish
Pea Ridge CDP,AL,Pea Ridge
Pelham city,AL,Pelham
Pell City city,AL,Pell City
Pennington town,AL,Pennington
Penton CDP,AL,Penton
Perdido CDP,AL,Perdido
Perdido Beach town,AL,Perdido Beach
Peterman CDP,AL,Peterman
Petrey town,AL,Petrey
Phenix City city,AL,Phenix City
Phil Campbell town,AL,Phil Campbell
Pickensville town,AL,Pickensville
Piedmont city,AL,Piedmont
Pike Road town,AL,Pike Road
Pinckard town,AL,Pinckard
Pine Apple town,AL,Pine Apple
Pine Hill town,AL,Pine Hill
Pine Level CDP,AL,Pine Level
Pine Ridge town,AL,Pine Ridge
Pinson city,AL,Pinson
Pisgah town,AL,Pisgah
Pleasant Grove city,AL,Pleasant Grove
Pleasant Groves town,AL,Pleasant Groves
Point Clear CDP,AL,Point Clear
Pollard town,AL,Pollard
Powell town,AL,Powell
Prattville city,AL,Prattville
Priceville town,AL,Priceville
Prichard city,AL,Prichard
Providence town,AL,Providence
Putnam CDP,AL,Putnam
Ragland town,AL,Ragland
Rainbow City city,AL,Rainbow City
Rainsville city,AL,Rainsville
Ranburne town,AL,Ranburne
Ray CDP,AL,Ray
Red Bay city,AL,Red Bay
Redland CDP,AL,Redland
Red Level town,AL,Red Level
Redstone Arsenal CDP,AL,Redstone Arsenal
Reece City town,AL,Reece City
Reeltown CDP,AL,Reeltown
Reform town,AL,Reform
Rehobeth town,AL,Rehobeth
Remlap CDP,AL,Remlap
Repton town,AL,Repton
Ridgeville town,AL,Ridgeville
River Falls town,AL,River Falls
Riverside city,AL,Riverside
Riverview town,AL,Riverview
Roanoke city,AL,Roanoke
Robertsdale city,AL,Robertsdale
Rock Creek CDP,AL,Rock Creek
Rockford town,AL,Rockford
Rock Mills CDP,AL,Rock Mills
Rockville CDP,AL,Rockville
Rogersville town,AL,Rogersville
Rosa town,AL,Rosa
Russellville city,AL,Russellville
Rutledge town,AL,Rutledge
St. Florian town,AL,St. Florian
St. Stephens CDP,AL,St. Stephens
Saks CDP,AL,Saks
Samson city,AL,Samson
Sand Rock town,AL,Sand Rock
Sanford town,AL,Sanford
Saraland city,AL,Saraland
Sardis City town,AL,Sardis City
Satsuma city,AL,Satsuma
Scottsboro city,AL,Scottsboro
Section town,AL,Section
Selma city,AL,Selma
Selmont-West Selmont CDP,AL,Selmont-West Selmont
Semmes city,AL,Semmes
Sheffield city,AL,Sheffield
Shelby CDP,AL,Shelby
Shiloh town,AL,Shiloh
Shoal Creek CDP,AL,Shoal Creek
Shorter town,AL,Shorter
Silas town,AL,Silas
Silverhill town,AL,Silverhill
Sims Chapel CDP,AL,Sims Chapel
Sipsey town,AL,Sipsey
Skyline town,AL,Skyline
Slocomb city,AL,Slocomb
Smiths Station city,AL,Smiths Station
Smoke Rise CDP,AL,Smoke Rise
Snead town,AL,Snead
Somerville town,AL,Somerville
Southside city,AL,Southside
South Vinemont town,AL,South Vinemont
Spanish Fort city,AL,Spanish Fort
Spring Garden CDP,AL,Spring Garden
Springville city,AL,Springville
Spruce Pine CDP,AL,Spruce Pine
Standing Rock CDP,AL,Standing Rock
Stapleton CDP,AL,Stapleton
Steele town,AL,Steele
Sterrett CDP,AL,Sterrett
Stevenson city,AL,Stevenson
Stewartville CDP,AL,Stewartville
Stockton CDP,AL,Stockton
Sulligent city,AL,Sulligent
Sumiton city,AL,Sumiton
Summerdale town,AL,Summerdale
Susan Moore town,AL,Susan Moore
Sweet Water town,AL,Sweet Water
Sylacauga city,AL,Sylacauga
Sylvania town,AL,Sylvania
Sylvan Springs town,AL,Sylvan Springs
Talladega city,AL,Talladega
Talladega Springs town,AL,Talladega Springs
Tallassee city,AL,Tallassee
Tarrant city,AL,Tarrant
Taylor town,AL,Taylor
Theodore CDP,AL,Theodore
Thomaston town,AL,Thomaston
Thomasville city,AL,Thomasville
Thorsby town,AL,Thorsby
Tibbie CDP,AL,Tibbie
Tidmore Bend CDP,AL,Tidmore Bend
Tillmans Corner CDP,AL,Tillmans Corner
Town Creek town,AL,Town Creek
Toxey town,AL,Toxey
Trafford town,AL,Trafford
Triana town,AL,Triana
Trinity town,AL,Trinity
Troy city,AL,Troy
Trussville city,AL,Trussville
Tuscaloosa city,AL,Tuscaloosa
Tuscumbia city,AL,Tuscumbia
Tuskegee city,AL,Tuskegee
Twin town,AL,Twin
Underwood-Petersville CDP,AL,Underwood-Petersville
Union town,AL,Union
Union Grove town,AL,Union Grove
Union Springs city,AL,Union Springs
Uniontown town,AL,Uniontown
Uriah CDP,AL,Uriah
Valley city,AL,Valley
Valley Grande city,AL,Valley Grande
Valley Head town,AL,Valley Head
Vance town,AL,Vance
Vandiver CDP,AL,Vandiver
Vernon city,AL,Vernon
Vestavia Hills city,AL,Vestavia Hills
Vina town,AL,Vina
Vincent town,AL,Vincent
Vinegar Bend CDP,AL,Vinegar Bend
Vredenburgh town,AL,Vredenburgh
Wadley town,AL,Wadley
Waldo town,AL,Waldo
Walnut Grove town,AL,Walnut Grove
Warrior city,AL,Warrior
Waterloo town,AL,Waterloo
Waverly town,AL,Waverly
Weaver city,AL,Weaver
Webb town,AL,Webb
Wedowee town,AL,Wedowee
Weogufka CDP,AL,Weogufka
West Blocton town,AL,West Blocton
West End-Cobb Town CDP,AL,West End-Cobb Town
West Jefferson town,AL,West Jefferson
Westover town,AL,Westover
West Point town,AL,West Point
Wetumpka city,AL,Wetumpka
Whatley CDP,AL,Whatley
White Hall town,AL,White Hall
White Plains CDP,AL,White Plains
Whitesboro CDP,AL,Whitesboro
Wilsonville town,AL,Wilsonville
Wilton town,AL,Wilton
Winfield city,AL,Winfield
Woodland town,AL,Woodland
Woodstock town,AL,Woodstock
Woodville town,AL,Woodville
Yellow Bluff town,AL,Yellow Bluff
York city,AL,York
Adak city,AK,Adak
Akhiok city,AK,Akhiok
Akiachak CDP,AK,Akiachak
Akiak city,AK,Akiak
Akutan city,AK,Akutan
Alakanuk city,AK,Alakanuk
Alatna CDP,AK,Alatna
Alcan Border CDP,AK,Alcan Border
Aleknagik city,AK,Aleknagik
Aleneva CDP,AK,Aleneva
Allakaket city,AK,Allakaket
Ambler city,AK,Ambler
Anaktuvuk Pass city,AK,Anaktuvuk Pass
Anchorage municipality,AK,Anchorage
Anchor Point CDP,AK,Anchor Point
Anderson city,AK,Anderson
Angoon city,AK,Angoon
Aniak city,AK,Aniak
Anvik city,AK,Anvik
Arctic Village CDP,AK,Arctic Village
Atka city,AK,Atka
Atmautluak CDP,AK,Atmautluak
Atqasuk city,AK,Atqasuk
Attu Station CDP,AK,Attu Station
Badger CDP,AK,Badger
Bear Creek CDP,AK,Bear Creek
Beaver CDP,AK,Beaver
Beluga CDP,AK,Beluga
Bethel city,AK,Bethel
Bettles city,AK,Bettles
Big Delta CDP,AK,Big Delta
Big Lake CDP,AK,Big Lake
Birch Creek CDP,AK,Birch Creek
Brevig Mission city,AK,Brevig Mission
Buckland city,AK,Buckland
Buffalo Soapstone CDP,AK,Buffalo Soapstone
Butte CDP,AK,Butte
Cantwell CDP,AK,Cantwell
Central CDP,AK,Central
Chalkyitsik CDP,AK,Chalkyitsik
Chase CDP,AK,Chase
Chefornak city,AK,Chefornak
Chena Ridge CDP,AK,Chena Ridge
Chenega CDP,AK,Chenega
Chevak city,AK,Chevak
Chickaloon CDP,AK,Chickaloon
Chicken CDP,AK,Chicken
Chignik city,AK,Chignik
Chignik Lagoon CDP,AK,Chignik Lagoon
Chignik Lake CDP,AK,Chignik Lake
Chiniak CDP,AK,Chiniak
Chisana CDP,AK,Chisana
Chistochina CDP,AK,Chistochina
Chitina CDP,AK,Chitina
Chuathbaluk city,AK,Chuathbaluk
Circle CDP,AK,Circle
Clam Gulch CDP,AK,Clam Gulch
Clark's Point city,AK,Clark's Point
Coffman Cove city,AK,Coffman Cove
Cohoe CDP,AK,Cohoe
Cold Bay city,AK,Cold Bay
Coldfoot CDP,AK,Coldfoot
College CDP,AK,College
Cooper Landing CDP,AK,Cooper Landing
Copper Center CDP,AK,Copper Center
Cordova city,AK,Cordova
Covenant Life CDP,AK,Covenant Life
Craig city,AK,Craig
Crooked Creek CDP,AK,Crooked Creek
Crown Point CDP,AK,Crown Point
Deering city,AK,Deering
Delta Junction city,AK,Delta Junction
Deltana CDP,AK,Deltana
Denali Park CDP,AK,Denali Park
Diamond Ridge CDP,AK,Diamond Ridge
Dillingham city,AK,Dillingham
Diomede city,AK,Diomede
Dot Lake CDP,AK,Dot Lake
Dot Lake Village CDP,AK,Dot Lake Village
Dry Creek CDP,AK,Dry Creek
Eagle city,AK,Eagle
Eagle Village CDP,AK,Eagle Village
Eareckson Station CDP,AK,Eareckson Station
Edna Bay city,AK,Edna Bay
Eek city,AK,Eek
Egegik city,AK,Egegik
Eielson AFB CDP,AK,Eielson AFB
Ekwok city,AK,Ekwok
Elfin Cove CDP,AK,Elfin Cove
Elim city,AK,Elim
Emmonak city,AK,Emmonak
Ester CDP,AK,Ester
Eureka Roadhouse CDP,AK,Eureka Roadhouse
Evansville CDP,AK,Evansville
Excursion Inlet CDP,AK,Excursion Inlet
Fairbanks city,AK,Fairbanks
False Pass city,AK,False Pass
Farmers Loop CDP,AK,Farmers Loop
Farm Loop CDP,AK,Farm Loop
Ferry CDP,AK,Ferry
Fishhook CDP,AK,Fishhook
Flat CDP,AK,Flat
Fort Greely CDP,AK,Fort Greely
Fort Yukon city,AK,Fort Yukon
Four Mile Road CDP,AK,Four Mile Road
Fox CDP,AK,Fox
Fox River CDP,AK,Fox River
Fritz Creek CDP,AK,Fritz Creek
Funny River CDP,AK,Funny River
Gakona CDP,AK,Gakona
Galena city,AK,Galena
Gambell city,AK,Gambell
Game Creek CDP,AK,Game Creek
Gateway CDP,AK,Gateway
Glacier View CDP,AK,Glacier View
Glennallen CDP,AK,Glennallen
Goldstream CDP,AK,Goldstream
Golovin city,AK,Golovin
Goodnews Bay city,AK,Goodnews Bay
Grayling city,AK,Grayling
Gulkana CDP,AK,Gulkana
Gustavus city,AK,Gustavus
Haines CDP,AK,Haines
Halibut Cove CDP,AK,Halibut Cove
Happy Valley CDP,AK,Happy Valley
Harding-Birch Lakes CDP,AK,Harding-Birch Lakes
Healy CDP,AK,Healy
Healy Lake CDP,AK,Healy Lake
Hobart Bay CDP,AK,Hobart Bay
Hollis CDP,AK,Hollis
Holy Cross city,AK,Holy Cross
Homer city,AK,Homer
Hoonah city,AK,Hoonah
Hooper Bay city,AK,Hooper Bay
Hope CDP,AK,Hope
Houston city,AK,Houston
Hughes city,AK,Hughes
Huslia city,AK,Huslia
Hydaburg city,AK,Hydaburg
